timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
2026-05-01 18:05:02.393,-4.65,2.38,-8.65,-0.15,-0.16,0.25,-2.55,9.48,-3.11,-0.22,-0.12,0.12,-5.15,-9.03,2.63,-0.03,0.21,-0.03,-2.73,-8.28,-6.29,-0.37,0.05,0.09
2026-05-01 18:05:02.673,-5.08,3.28,-8.32,-0.13,-0.03,-0.01,-2.82,8.67,-3.08,-0.07,-0.01,0.04,-4.61,-8.30,2.97,0.22,-0.00,-0.01,-2.73,-6.73,-5.89,-0.06,-0.02,-0.01
2026-05-01 18:05:02.983,-5.11,2.98,-8.11,-0.09,-0.07,-0.04,-2.78,8.59,-3.19,-0.06,-0.01,-0.01,-4.68,-8.27,3.00,0.20,0.07,0.00,-2.83,-6.72,-5.78,-0.04,0.03,0.04
2026-05-01 18:05:03.086,-5.28,3.15,-8.52,-0.11,-0.07,-0.01,-2.82,8.88,-3.12,-0.08,-0.01,0.00,-4.67,-8.33,2.98,0.26,0.08,0.03,-2.76,-6.67,-5.94,-0.08,0.04,0.09
2026-05-01 18:05:03.483,-5.04,3.18,-8.34,-0.10,-0.03,0.04,-2.64,8.69,-3.14,-0.04,-0.03,0.07,-4.81,-8.25,2.91,0.18,0.02,-0.01,-2.86,-6.63,-5.90,-0.06,-0.01,-0.02
2026-05-01 18:05:03.684,-4.99,3.03,-8.26,-0.18,0.05,-0.02,-2.68,8.66,-3.09,-0.08,0.08,0.08,-4.66,-8.17,2.96,0.14,-0.20,-0.01,-2.80,-6.85,-5.71,-0.12,-0.12,-0.18
2026-05-01 18:05:03.881,-5.16,2.88,-8.11,-0.10,-0.02,-0.06,-2.84,8.49,-3.26,-0.05,0.05,0.02,-4.52,-8.43,2.88,0.13,-0.06,0.01,-2.52,-6.65,-6.00,-0.07,-0.06,-0.05
2026-05-01 18:05:04.166,-4.98,3.05,-8.38,-0.07,0.00,-0.04,-2.69,8.74,-3.31,-0.01,0.02,0.03,-4.66,-8.41,2.91,0.28,-0.01,0.02,-2.70,-6.68,-6.05,-0.02,-0.03,0.03
2026-05-01 18:05:04.288,-4.93,2.92,-8.34,-0.05,-0.02,-0.00,-2.63,8.66,-3.54,-0.01,-0.01,0.05,-4.67,-8.25,3.16,0.32,0.07,0.05,-2.73,-6.60,-5.98,-0.03,-0.01,0.12
2026-05-01 18:05:04.424,-4.94,2.77,-8.60,-0.10,-0.03,-0.02,-2.58,8.70,-3.63,-0.04,0.01,0.02,-4.88,-8.09,3.26,0.26,0.05,0.02,-3.10,-6.79,-5.66,-0.03,-0.02,0.05
2026-05-01 18:05:04.698,-4.75,2.82,-8.50,-0.15,-0.02,-0.09,-2.48,8.59,-3.53,-0.10,0.08,-0.02,-4.83,-8.13,3.26,0.19,-0.04,0.00,-3.04,-6.92,-5.82,-0.07,-0.03,-0.04
2026-05-01 18:05:05.136,-4.98,2.73,-8.54,-0.20,-0.03,-0.14,-2.63,8.60,-3.55,-0.14,0.12,-0.06,-4.80,-8.15,3.38,0.16,-0.03,0.01,-3.01,-6.78,-5.84,-0.09,-0.04,-0.05
2026-05-01 18:05:05.751,-5.07,2.98,-8.57,-0.18,-0.03,-0.12,-2.78,8.74,-3.33,-0.15,0.12,-0.03,-4.82,-8.27,3.18,-0.04,-0.16,-0.02,-3.09,-7.07,-5.67,-0.22,-0.11,-0.22
2026-05-01 18:05:06.234,-4.86,2.74,-8.69,-0.03,0.02,-0.01,-2.64,8.62,-3.36,-0.04,0.03,0.05,-4.55,-8.43,2.64,0.02,-0.24,-0.01,-2.58,-6.58,-6.16,-0.19,-0.16,-0.24
2026-05-01 18:05:06.587,-5.05,2.32,-8.45,-0.30,-0.09,0.17,-3.01,7.81,-3.59,-0.25,-0.09,0.17,-4.02,-8.41,2.75,-0.14,0.11,-0.18,-1.91,-6.76,-6.30,-0.16,0.15,-0.18
2026-05-01 18:05:06.750,-5.60,3.45,-8.57,-0.35,0.07,-0.16,-3.13,8.40,-2.94,-0.23,0.18,-0.03,-4.47,-8.20,2.38,0.03,0.03,0.14,-2.27,-6.18,-6.42,-0.41,-0.06,0.05
2026-05-01 18:05:06.951,-4.07,3.66,-10.02,0.43,0.11,0.17,-2.30,9.76,-2.89,0.10,-0.12,-0.09,-5.66,-8.82,1.41,0.39,-0.02,0.03,-2.82,-6.29,-7.68,0.13,0.13,-0.05
2026-05-01 18:05:07.163,-2.92,2.04,-8.27,-1.29,-0.15,-0.38,-1.68,7.58,-3.27,-0.55,0.45,0.05,-3.54,-7.18,2.63,0.21,-0.17,-0.03,-1.40,-5.06,-4.50,0.33,-0.14,-0.09
2026-05-01 18:05:07.343,-6.36,6.24,-9.98,-2.79,0.92,-0.92,-2.64,13.27,-3.68,-0.78,1.36,0.01,-7.66,-11.99,2.45,-0.34,-0.39,-0.16,-2.89,-7.69,-11.34,-0.91,-0.00,-1.02
2026-05-01 18:05:07.566,0.58,0.70,-1.73,-0.53,1.04,0.83,0.99,1.33,-0.07,0.04,0.44,1.26,3.92,0.21,3.62,0.82,0.18,-0.68,3.34,-0.04,2.35,1.55,1.49,-0.58
